"","default","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_duration","years_at_residence","age","other_credit","housing","existing_loans_count","job","dependents","monthlyincome","phone"
"1","0","< 0 EUR",6,"critical","furniture/appliances",1169,"unknown","> 7 years",4,67,"none","own",2,"skilled",1,1740,1
"2","1","1 - 200 EUR",48,"good","furniture/appliances",5951,"< 100 EUR","1 - 4 years",2,22,"none","own",1,"skilled",1,4963,0
"3","0","unknown",12,"critical","education",2096,"< 100 EUR","4 - 7 years",3,49,"none","own",1,"unskilled",2,1214,0
"4","0","< 0 EUR",42,"good","furniture/appliances",7882,"< 100 EUR","4 - 7 years",4,45,"none","other",1,"skilled",2,7077,0
"5","1","< 0 EUR",24,"poor","car",4870,"< 100 EUR","1 - 4 years",4,53,"none","other",2,"skilled",2,5771,0
"6","0","unknown",36,"good","education",9055,"unknown","1 - 4 years",4,35,"none","other",1,"unskilled",2,8536,1
"7","0","unknown",24,"good","furniture/appliances",2835,"500 - 1000 EUR","> 7 years",4,53,"none","own",1,"skilled",1,2543,0
"8","0","1 - 200 EUR",36,"good","car",6948,"< 100 EUR","1 - 4 years",2,7500,"none","rent",1,"management",1,6292,1
"9","0","unknown",12,"good","furniture/appliances",3059,"> 1000 EUR","4 - 7 years",4,61,"none","own",1,"unskilled",1,2992,0
"10","1","1 - 200 EUR",30,"critical","car",5234,"< 100 EUR","unemployed",2,28,"none","own",2,"management",1,5025,0
"11","1","1 - 200 EUR",12,"good","car",1295,"< 100 EUR","< 1 year",1,25,"none","rent",1,"skilled",1,1319,0
"12","1","< 0 EUR",48,"good","business",4308,"< 100 EUR","< 1 year",4,24,"none","rent",1,"skilled",1,4265,0
"13","0","1 - 200 EUR",12,"good","furniture/appliances",1567,"< 100 EUR","1 - 4 years",1,22,"none","own",1,"skilled",1,1915,1
"14","1","< 0 EUR",24,"critical","car",1199,"< 100 EUR","> 7 years",4,60,"none","own",2,"unskilled",1,2061,0
"15","0","< 0 EUR",15,"good","car",1403,"< 100 EUR","1 - 4 years",4,28,"none","rent",1,"skilled",1,2078,0
"16","1","< 0 EUR",24,"good","furniture/appliances",1282,"100 - 500 EUR","1 - 4 years",2,32,"none","own",1,"unskilled",1,310,0
"17","0","unknown",24,"critical","furniture/appliances",2424,"unknown","> 7 years",4,53,"none","own",2,"skilled",1,2306,0
"18","0","< 0 EUR",30,"perfect","business",8072,"unknown","< 1 year",3,25,"bank","own",3,"skilled",1,7862,0
"19","1","1 - 200 EUR",24,"good","car",12579,"< 100 EUR","> 7 years",2,44,"none","other",1,"management",1,12277,1
"20","0","unknown",24,"good","furniture/appliances",3430,"500 - 1000 EUR","> 7 years",2,31,"none","own",1,"skilled",2,4157,1
"21","0","unknown",9,"critical","car",2134,"< 100 EUR","1 - 4 years",4,48,"none","own",3,"skilled",1,2158,1
"22","0","< 0 EUR",6,"good","furniture/appliances",2647,"500 - 1000 EUR","1 - 4 years",3,44,"none","rent",1,"skilled",2,2549,0
"23","0","< 0 EUR",10,"critical","car",2241,"< 100 EUR","< 1 year",3,48,"none","rent",2,"unskilled",2,2014,0
"24","0","1 - 200 EUR",12,"critical","car",1804,"100 - 500 EUR","< 1 year",4,44,"none","own",1,"skilled",1,2538,0
"25","0","unknown",10,"critical","furniture/appliances",2069,"unknown","1 - 4 years",1,26,"none","own",2,"skilled",1,1733,0
"26","0","< 0 EUR",6,"good","furniture/appliances",1374,"< 100 EUR","1 - 4 years",2,36,"bank","own",1,"unskilled",1,1847,1
"27","0","unknown",6,"perfect","furniture/appliances",426,"< 100 EUR","> 7 years",4,39,"none","own",1,"unskilled",1,-34,0
"28","0","> 200 EUR",12,"very good","furniture/appliances",409,"> 1000 EUR","1 - 4 years",3,42,"none","rent",2,"skilled",1,365,0
"29","0","1 - 200 EUR",7,"good","furniture/appliances",2415,"< 100 EUR","1 - 4 years",2,34,"none","own",1,"skilled",1,2975,0
"30","1","< 0 EUR",60,"poor","business",6836,"< 100 EUR","> 7 years",4,63,"none","own",2,"skilled",1,6141,1
"31","0","1 - 200 EUR",18,"good","business",1913,"> 1000 EUR","< 1 year",3,36,"bank","own",1,"skilled",1,2185,1
"32","0","< 0 EUR",24,"good","furniture/appliances",4020,"< 100 EUR","1 - 4 years",2,27,"store","own",1,"skilled",1,3271,0
"33","0","1 - 200 EUR",18,"good","car",5866,"100 - 500 EUR","1 - 4 years",2,30,"none","own",2,"skilled",1,5070,1
"34","0","unknown",12,"critical","business",1264,"unknown","> 7 years",4,57,"none","rent",1,"unskilled",1,1750,0
"35","0","> 200 EUR",12,"good","furniture/appliances",1474,"< 100 EUR","< 1 year",1,33,"bank","own",1,"management",1,1955,1
"36","1","1 - 200 EUR",45,"critical","furniture/appliances",4746,"< 100 EUR","< 1 year",2,25,"none","own",2,"unskilled",1,4449,0
"37","0","unknown",48,"critical","education",6110,"< 100 EUR","1 - 4 years",3,31,"bank","other",1,"skilled",1,6224,1
"38","1","> 200 EUR",18,"good","furniture/appliances",2100,"< 100 EUR","1 - 4 years",2,37,"store","own",1,"skilled",1,2076,0
"39","0","> 200 EUR",10,"good","furniture/appliances",1225,"< 100 EUR","1 - 4 years",2,37,"none","own",1,"skilled",1,556,1
"40","0","1 - 200 EUR",9,"good","furniture/appliances",458,"< 100 EUR","1 - 4 years",3,24,"none","own",1,"skilled",1,1278,0
"41","0","unknown",30,"good","furniture/appliances",2333,"500 - 1000 EUR","> 7 years",2,30,"bank","own",1,"management",1,1369,0
"42","0","1 - 200 EUR",12,"good","furniture/appliances",1158,"500 - 1000 EUR","1 - 4 years",1,26,"none","own",1,"skilled",1,1835,1
"43","0","1 - 200 EUR",18,"poor","renovations",6204,"< 100 EUR","1 - 4 years",4,44,"none","own",1,"unskilled",2,6252,1
"44","0","< 0 EUR",30,"critical","car",6187,"100 - 500 EUR","4 - 7 years",4,24,"none","rent",2,"skilled",1,5777,0
"45","1","< 0 EUR",48,"critical","car",6143,"< 100 EUR","> 7 years",4,58,"store","other",2,"unskilled",1,5728,0
"46","0","unknown",11,"critical","car",1393,"< 100 EUR","< 1 year",4,35,"none","own",2,"management",1,2087,0
"47","0","unknown",36,"good","furniture/appliances",2299,"500 - 1000 EUR","> 7 years",4,39,"none","own",1,"skilled",1,1842,0
"48","0","< 0 EUR",6,"good","car",1352,"500 - 1000 EUR","unemployed",2,23,"none","rent",1,"unemployed",1,2293,1
"49","0","unknown",11,"critical","car",7228,"< 100 EUR","1 - 4 years",4,39,"none","own",2,"unskilled",1,7588,0
"50","0","unknown",12,"good","furniture/appliances",2073,"100 - 500 EUR","1 - 4 years",2,28,"none","own",1,"skilled",1,2904,0
"51","0","1 - 200 EUR",24,"poor","furniture/appliances",2333,"unknown","< 1 year",2,29,"bank","own",1,"unskilled",1,2732,0
"52","0","1 - 200 EUR",27,"poor","car",5965,"< 100 EUR","> 7 years",2,30,"none","own",2,"management",1,5676,1
"53","0","unknown",12,"good","furniture/appliances",1262,"< 100 EUR","1 - 4 years",2,25,"none","own",1,"skilled",1,345,0
"54","0","unknown",18,"good","car",3378,"unknown","1 - 4 years",1,31,"none","own",1,"skilled",1,4325,1
"55","1","1 - 200 EUR",36,"poor","car",2225,"< 100 EUR","> 7 years",4,57,"bank","other",2,"skilled",1,2109,1
"56","0","unknown",6,"very good","car",783,"unknown","1 - 4 years",2,26,"store","own",1,"unskilled",2,1067,0
"57","1","1 - 200 EUR",12,"good","furniture/appliances",6468,"unknown","unemployed",1,52,"none","own",1,"management",1,6578,1
"58","0","unknown",36,"critical","furniture/appliances",9566,"< 100 EUR","1 - 4 years",2,31,"store","own",2,"skilled",1,8749,0
"59","0","> 200 EUR",18,"good","car",1961,"< 100 EUR","> 7 years",2,23,"none","own",1,"management",1,2477,0
"60","1","< 0 EUR",36,"critical","furniture/appliances",6229,"< 100 EUR","< 1 year",4,23,"none","rent",2,"unskilled",1,5657,1
"61","0","1 - 200 EUR",9,"good","business",1391,"< 100 EUR","1 - 4 years",1,27,"bank","own",1,"skilled",1,1488,1
"62","0","1 - 200 EUR",15,"critical","furniture/appliances",1537,"unknown","> 7 years",4,50,"none","own",2,"skilled",1,2110,1
"63","1","1 - 200 EUR",36,"perfect","business",1953,"< 100 EUR","> 7 years",4,61,"none","other",1,"management",1,2719,1
"64","1","1 - 200 EUR",48,"perfect","business",14421,"< 100 EUR","1 - 4 years",2,25,"none","own",1,"skilled",1,14709,1
"65","0","unknown",24,"good","furniture/appliances",3181,"< 100 EUR","< 1 year",4,26,"none","own",1,"skilled",1,3616,1
"66","0","unknown",27,"good","renovations",5190,"unknown","> 7 years",4,48,"none","own",4,"skilled",2,4448,1
"67","0","unknown",12,"good","furniture/appliances",2171,"< 100 EUR","< 1 year",2,29,"bank","own",1,"skilled",1,2690,0
"68","0","1 - 200 EUR",12,"good","car",1007,"> 1000 EUR","1 - 4 years",1,22,"none","own",1,"skilled",1,1558,0
"69","1","unknown",36,"good","education",1819,"< 100 EUR","1 - 4 years",4,37,"store","other",1,"skilled",1,1391,1
"70","0","unknown",36,"good","furniture/appliances",2394,"unknown","1 - 4 years",4,25,"none","own",1,"skilled",1,2568,0
"71","0","unknown",36,"good","car",8133,"< 100 EUR","1 - 4 years",2,30,"bank","own",1,"skilled",1,7702,0
"72","0","unknown",7,"critical","furniture/appliances",730,"unknown","> 7 years",2,46,"none","rent",2,"unskilled",1,1163,1
"73","0","< 0 EUR",8,"critical","car0",1164,"< 100 EUR","> 7 years",4,51,"bank","other",2,"management",2,1531,1
"74","0","1 - 200 EUR",42,"critical","business",5954,"< 100 EUR","4 - 7 years",1,41,"bank","own",2,"unskilled",1,5121,0
"75","1","< 0 EUR",36,"good","education",1977,"unknown","> 7 years",4,40,"none","own",1,"management",1,1777,1
"76","0","< 0 EUR",12,"critical","car",1526,"< 100 EUR","> 7 years",4,66,"none","other",2,"management",1,1129,0
"77","1","< 0 EUR",42,"good","furniture/appliances",3965,"< 100 EUR","< 1 year",3,34,"none","own",1,"skilled",1,3268,0
"78","0","1 - 200 EUR",11,"poor","furniture/appliances",4771,"< 100 EUR","4 - 7 years",4,51,"none","own",1,"skilled",1,3933,0
"79","0","unknown",54,"perfect","car",9436,"unknown","1 - 4 years",2,39,"none","own",1,"unskilled",2,10133,0
"80","0","1 - 200 EUR",30,"good","furniture/appliances",3832,"< 100 EUR","< 1 year",1,22,"none","own",1,"skilled",1,3362,0
"81","1","unknown",24,"good","furniture/appliances",5943,"unknown","< 1 year",1,44,"none","own",2,"skilled",1,5022,1
"82","0","unknown",15,"good","furniture/appliances",1213,"500 - 1000 EUR","> 7 years",3,47,"store","own",1,"skilled",1,1695,1
"83","0","unknown",18,"good","business",1568,"100 - 500 EUR","1 - 4 years",4,24,"none","rent",1,"unskilled",1,1501,0
"84","0","< 0 EUR",24,"good","car0",1755,"< 100 EUR","> 7 years",4,58,"none","own",1,"unskilled",1,2255,1
"85","0","< 0 EUR",10,"good","furniture/appliances",2315,"< 100 EUR","> 7 years",4,52,"none","own",1,"unskilled",1,2156,0
"86","0","unknown",12,"critical","business",1412,"< 100 EUR","1 - 4 years",2,29,"none","own",2,"management",1,625,1
"87","0","1 - 200 EUR",18,"critical","furniture/appliances",1295,"< 100 EUR","< 1 year",1,27,"none","own",2,"skilled",1,2057,0
"88","1","1 - 200 EUR",36,"good","education",12612,"100 - 500 EUR","1 - 4 years",4,47,"none","other",1,"skilled",2,12325,1
"89","0","< 0 EUR",18,"good","car",2249,"100 - 500 EUR","4 - 7 years",3,30,"none","own",1,"management",2,2664,1
"90","1","< 0 EUR",12,"perfect","renovations",1108,"< 100 EUR","4 - 7 years",3,28,"none","own",2,"skilled",1,2016,0
"91","0","unknown",12,"critical","furniture/appliances",618,"< 100 EUR","> 7 years",4,56,"none","own",1,"skilled",1,-186,0
"92","0","< 0 EUR",12,"critical","car",1409,"< 100 EUR","> 7 years",3,54,"none","own",1,"skilled",1,1374,0
"93","1","unknown",12,"critical","furniture/appliances",797,"unknown","> 7 years",3,33,"bank","own",1,"unskilled",2,813,0
"94","0","> 200 EUR",24,"critical","furniture/appliances",3617,"unknown","> 7 years",4,20,"none","rent",2,"skilled",1,3040,0
"95","0","1 - 200 EUR",12,"good","car",1318,"> 1000 EUR","> 7 years",4,54,"none","own",1,"skilled",1,550,1
"96","1","1 - 200 EUR",54,"perfect","business",15945,"< 100 EUR","< 1 year",4,58,"none","rent",1,"skilled",1,16251,1
"97","0","unknown",12,"critical","education",2012,"unknown","4 - 7 years",2,61,"none","own",1,"skilled",1,2868,0
"98","0","1 - 200 EUR",18,"good","business",2622,"100 - 500 EUR","1 - 4 years",4,34,"none","own",1,"skilled",1,2737,0
